District Name,state,Connected to All weather road,Internal Pucca Roads (Cc/ Brick Road),Public Transport,Public Distribution System(PDS),Piped tap water,Drainage facilities,Community waste disposal system,Community bio gas or recycle of waste for production use,Aanganwadi Centre,Children under 5 years who are wasted (weight-for-height)18 (%),classify
SHAHJAHANPUR (180),UP(28),440,458,279,379,317,473,100,32,439,18.7247392,Low
SHRAVASTI (181),UP(28),1726,2063,1123,1200,858,2063,164,22,1281,24.8,High
SIDDHARTH NAGAR (182),UP(28),1977,2047,974,1602,929,2096,195,25,1677,18.2,Low
SITAPUR (183),UP(28),1140,1172,917,689,342,1003,51,9,861,26.8,High
SONBHADRA (184),UP(28),1309,1451,846,1083,759,1482,97,71,1030,10.7,Low
SULTANPUR (185),UP(28),1466,1461,805,1029,952,1548,202,56,1269,12.1,Low
UNNAO (186),UP(28),1012,1026,646,790,377,932,205,37,826,21,High
VARANASI (187),UP(28),570,590,457,426,401,587,102,25,541,18.7247392,Low
Kasganj (633),UP(28),793,861,491,660,419,886,142,20,765,19.9,High
Amethi (640),UP(28),796,962,660,611,641,975,149,17,702,14.1,Low
SAMBHAL (659),UP(28),291,296,236,246,158,308,150,16,263,24.3,High
SHAMLI (660),UP(28),300,300,288,289,104,318,53,14,297,18.5,Low
HAPUR (661),WB(29),1295,1285,1530,758,969,1461,83,33,1531,13.3,Low
24 PARAGANAS NORTH (303),WB(29),1713,1714,2042,1194,1231,1831,112,55,2031,21.2,High
24 PARAGANAS SOUTH (304),WB(29),2536,2550,2431,1108,2565,2468,108,125,3108,26,High
BANKURA (305),WB(29),1676,1604,2041,1096,1412,2089,180,108,2064,21.1,High
PURBA BARDHAMAN (306),WB(29),1863,1751,1936,742,848,2089,102,53,2048,25.5,High
BIRBHUM (307),WB(29),724,660,1001,388,645,629,78,35,1064,16.8,Low
COOCHBEHAR (308),WB(29),290,245,238,112,197,309,8,3,312,20.6,High
DARJEELING (309),WB(29),929,975,1292,275,584,1175,32,25,1365,22.8,High
DINAJPUR DAKSHIN (310),WB(29),974,1074,1195,574,421,656,57,60,1379,16,Low
DINAJPUR UTTAR (311),WB(29),1562,1527,1777,973,1181,1765,92,43,1838,20,High
HOOGHLY (312),WB(29),651,681,763,422,491,669,19,17,783,21.3,High
HOWRAH (313),WB(29),341,349,392,288,277,406,15,11,425,18.3,Low
JALPAIGURI (314),WB(29),897,990,1303,590,1129,926,102,71,1509,20,High
MALDAH (316),WB(29),1943,2384,2735,1071,2067,2347,85,53,2566,15.5,Low
MEDINIPUR EAST (317),WB(29),2874,3000,3496,1040,3878,3914,153,88,3774,30.3,High
MEDINIPUR WEST (318),WB(29),1522,1602,1681,1060,1038,1483,98,57,1870,16.3,Low
MURSHIDABAD (319),WB(29),1094,952,1252,652,976,766,70,47,1231,17.6,Low
NADIA (320),WB(29),1842,1563,1487,1213,849,973,125,88,2286,29.4,High
PURULIA (321),WB(29),270,234,289,204,199,264,15,5,346,18.7247392,Low
Alipurduar (664),WB(29),1471,1375,1262,350,1491,975,10,14,1769,18.7247392,Low
Jhargram (703),WB(29),360,335,301,203,300,375,56,12,373,25.5,High
PASCHIM BARDHAMAN (704),,,,,,,,,,,,
